project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_created_at_date,last_updated_at_date,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months,comment_count_6_months,release_count_6_months,time_to_first_response_days_average_6_months,time_to_merge_days_average_6_months
rqZBGkL_I2YdMzn6AsloysnvQd1P_szbw9ruZc2arQw=,OSS_DIRECTORY,oso,commonsbuild,Token Engineering Commons,GITHUB,54,2020-10-09 22:18:06.000000 UTC,2024-12-15 21:25:47.000000 UTC,2020-10-12 18:00:04.000000 UTC,2024-10-24 00:19:59.000000 UTC,95,80,37.0,82.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qHEjczna6kDTLN1fGMLq2d6rwKqfRU0mufHsRXr5cqA=,OSS_DIRECTORY,oso,pizzadao,PizzaDAO,GITHUB,21,2021-02-24 13:43:13.000000 UTC,2024-12-17 12:54:02.000000 UTC,2021-02-27 22:52:08.000000 UTC,2024-12-17 12:53:59.000000 UTC,32,24,19.0,34.0,7.0,4.0,0.0,6.0,48.0,6.0,3.0,5.0,0.0,8.0,0.0,1.1874999999999998,0.0
iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,OSS_DIRECTORY,oso,metagame-metafam,MetaGame,GITHUB,58,2010-03-22 00:41:45.000000 UTC,2024-12-19 14:26:10.000000 UTC,2019-12-02 22:15:05.000000 UTC,2024-12-15 14:34:53.000000 UTC,267,229,35.0,147.0,8.0,3.0,0.0,4.0,261.0,25.0,20.0,65.0,41.0,100.0,0.0,73.460185185185168,0.0
VhDGUKAWcJC-2T2YV_HNWy77Ptk64L5sewm6byGKR8A=,OSS_DIRECTORY,oso,hausdao,Public HAUS,GITHUB,87,2019-08-23 21:34:58.000000 UTC,2024-12-19 08:28:13.000000 UTC,2019-08-30 21:02:42.000000 UTC,2024-12-19 07:41:00.000000 UTC,405,305,28.0,128.0,8.0,1.0,0.098360655737704916,4.0,288.0,138.0,128.0,99.0,96.0,148.0,2.0,68.560833333333335,0.0
0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,OSS_DIRECTORY,oso,1hive,1Hive Gardens,GITHUB,169,2017-07-03 23:52:03.000000 UTC,2024-12-13 17:47:04.000000 UTC,2017-07-03 23:59:01.000000 UTC,2024-11-01 18:01:54.000000 UTC,893,931,51.0,326.0,10.0,1.0,0.0,3.0,78.0,118.0,101.0,141.0,117.0,774.0,0.0,17.42167771464646,0.0
osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,OSS_DIRECTORY,oso,metagov,The Metagovernance Project,GITHUB,57,2019-12-15 13:23:53.000000 UTC,2024-12-18 22:56:01.000000 UTC,2020-01-29 13:19:04.000000 UTC,2024-12-17 11:31:07.000000 UTC,291,95,29.0,77.0,20.0,10.0,0.19672131147540983,11.0,361.0,28.0,20.0,23.0,14.0,110.0,1.0,46.244878472222219,0.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,OSS_DIRECTORY,oso,giveth,Giveth,GITHUB,135,2016-10-04 05:02:00.000000 UTC,2024-12-19 18:51:55.000000 UTC,2016-10-04 20:53:50.000000 UTC,2024-12-19 18:51:53.000000 UTC,2078,1110,85.0,323.0,32.0,5.0,1.8415300546448088,20.0,2283.0,642.0,556.0,398.0,678.0,5032.0,16.0,169.39034440890782,0.040972222222222222
r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,OSS_DIRECTORY,oso,dappnode,DAppNode,GITHUB,258,2018-02-27 07:45:00.000000 UTC,2024-12-19 15:43:55.000000 UTC,2018-02-27 19:36:04.000000 UTC,2024-12-19 15:43:52.000000 UTC,1113,676,43.0,397.0,52.0,26.0,1.6721311475409837,15.0,1138.0,981.0,585.0,90.0,71.0,1150.0,623.0,47.408680555555549,0.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,OSS_DIRECTORY,oso,gitcoin,Gitcoin,GITHUB,90,2017-07-10 10:53:45.000000 UTC,2024-12-19 06:15:45.000000 UTC,2017-07-10 10:54:32.000000 UTC,2024-12-19 19:34:57.000000 UTC,3553,1667,78.0,1549.0,56.0,31.0,0.43169398907103823,12.0,364.0,400.0,335.0,130.0,136.0,1155.0,0.0,45.629503105590054,0.0
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,OSS_DIRECTORY,oso,opensource-observer,Open Source Observer,GITHUB,14,2023-07-25 20:41:57.000000 UTC,2024-12-19 17:26:33.000000 UTC,2023-07-28 01:52:08.000000 UTC,2024-12-19 17:26:16.000000 UTC,201,182,84.0,144.0,73.0,57.0,2.737704918032787,46.0,1083.0,733.0,672.0,527.0,428.0,2087.0,0.0,36.454440476190477,0.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,OSS_DIRECTORY,oso,buidlguidl,Buidl Guidl,GITHUB,120,2018-08-14 00:15:14.000000 UTC,2024-12-19 16:59:58.000000 UTC,2018-08-14 00:15:49.000000 UTC,2024-12-19 16:59:55.000000 UTC,13088,8999,42.0,929.0,146.0,100.0,2.5300546448087431,16.0,1662.0,907.0,757.0,239.0,240.0,3310.0,30.0,7.0149128627034694,0.0
9FPohrEjU-h_5BTmL-HBlyLH7f9rLprx2zqBddNDtn0=,OSS_DIRECTORY,oso,vyperlang,Vyper,GITHUB,30,2016-11-11 08:56:41.000000 UTC,2024-12-19 17:24:32.000000 UTC,2016-11-12 10:52:09.000000 UTC,2024-12-19 17:24:09.000000 UTC,5383,926,17.0,494.0,49.0,26.0,0.83606557377049184,6.0,447.0,252.0,190.0,158.0,70.0,1523.0,34.0,27.200294075963718,0.0
kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,OSS_DIRECTORY,oso,l2beat,L2BEAT,GITHUB,13,2020-05-05 20:00:16.000000 UTC,2024-12-19 15:12:36.000000 UTC,2021-12-09 11:26:17.000000 UTC,2024-12-19 13:32:33.000000 UTC,920,475,105.0,361.0,102.0,67.0,6.2568306010928962,68.0,1581.0,1827.0,1679.0,7.0,7.0,3892.0,0.0,3.5997604166666672,0.0
VPRpp_l5T9Eh0u95IqfzUGdh-2DCLEp5TIxDQ8XMWJE=,OSS_DIRECTORY,oso,ethereum-cat-herders,Ethereum Cat Herders,GITHUB,24,2015-10-26 13:57:23.000000 UTC,2024-12-19 19:52:25.000000 UTC,2015-10-27 07:57:31.000000 UTC,2024-12-19 19:52:21.000000 UTC,13051,5358,23.0,1601.0,148.0,78.0,1.0054644808743169,5.0,252.0,365.0,246.0,44.0,18.0,1904.0,0.0,22.114890609636191,0.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,OSS_DIRECTORY,oso,blockscout,Blockscout,GITHUB,38,2018-01-12 22:45:24.000000 UTC,2024-12-19 18:48:08.000000 UTC,2018-03-08 20:57:01.000000 UTC,2024-12-19 18:48:06.000000 UTC,4237,3348,54.0,2721.0,445.0,388.0,2.4316939890710381,26.0,1644.0,941.0,808.0,819.0,791.0,3172.0,109.0,33.202469904524705,0.0
Fkm6jVtExDnveW5EGnKI-DzzElcM_x9zOBIsVoDge78=,OSS_DIRECTORY,oso,aestus-relay,Aestus Relay,GITHUB,7,2022-10-30 17:16:58.000000 UTC,2024-11-09 15:54:38.000000 UTC,2022-10-30 21:01:37.000000 UTC,2024-11-09 15:54:33.000000 UTC,4,1,2.0,2.0,2.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07RjBmujQG9SxIMIR384ywzvLfgQdH8gZBXJsYePuWY=,OSS_DIRECTORY,oso,lottopgf,LottoPGF,GITHUB,8,2023-08-12 14:31:50.000000 UTC,2024-12-17 08:47:15.000000 UTC,2023-08-12 21:52:39.000000 UTC,2024-12-17 08:47:19.000000 UTC,45,40,2.0,6.0,2.0,0.0,0.0,2.0,71.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
JtV4HW9C6jK66iQ7dhGM0GT7r49YrAFWZFvvLVFSnvQ=,OSS_DIRECTORY,oso,desci-latam,DeSci LATAM,GITHUB,8,2023-04-21 21:30:14.000000 UTC,2024-11-25 17:11:16.000000 UTC,2024-03-29 11:19:45.000000 UTC,2024-11-25 17:11:14.000000 UTC,0,1,2.0,3.0,3.0,0.0,0.0,2.0,73.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
zMr9ziUIls0NIAm5eLswVdNAjL-X9j4o2RcEQmrLf4c=,OSS_DIRECTORY,oso,revoke-cash,Revoke,GITHUB,9,2019-10-12 14:29:53.000000 UTC,2024-12-19 07:07:48.000000 UTC,2019-10-12 14:36:44.000000 UTC,2024-12-18 17:01:27.000000 UTC,800,276,2.0,175.0,17.0,12.0,0.73770491803278693,1.0,168.0,36.0,34.0,11.0,8.0,78.0,17.0,100.44661458333334,0.0
h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,OSS_DIRECTORY,oso,dao-drops-dorgtech,DAO Drops,GITHUB,1,2021-09-22 19:05:38.000000 UTC,2024-01-10 19:34:28.000000 UTC,2021-12-09 00:45:03.000000 UTC,2023-03-30 00:23:00.000000 UTC,14,1,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fY-OQ-do-d63891xc7h50Ql9xYWksuN5cQiMyrm9VxM=,OSS_DIRECTORY,oso,nicenode,NiceNode,GITHUB,15,2022-04-11 23:23:55.000000 UTC,2024-12-12 10:14:01.000000 UTC,2022-04-13 13:54:56.000000 UTC,2024-10-21 22:46:39.000000 UTC,205,36,4.0,25.0,6.0,2.0,0.38251366120218577,2.0,91.0,89.0,60.0,7.0,9.0,122.0,11.0,92.066550925925924,0.0
rrqUDy2n7xxF-Ese7VHsfoT9GqaThYKWoLtPyZBQCxw=,OSS_DIRECTORY,oso,greenpill-dev-guild,Greenpill Dev Guild,GITHUB,15,2023-09-07 04:44:23.000000 UTC,2024-12-18 16:25:33.000000 UTC,2023-12-12 18:41:55.000000 UTC,2024-12-09 22:57:23.000000 UTC,40,5,4.0,12.0,11.0,7.0,0.14754098360655737,3.0,171.0,31.0,28.0,73.0,116.0,50.0,0.0,71.568194444444444,0.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,OSS_DIRECTORY,oso,ethereum-attestation-service,Ethereum Attestation Service,GITHUB,16,2020-10-03 15:22:24.000000 UTC,2024-12-06 21:40:43.000000 UTC,2021-07-21 19:14:11.000000 UTC,2024-12-01 19:11:20.000000 UTC,474,217,4.0,109.0,31.0,26.0,0.0,3.0,121.0,41.0,17.0,9.0,8.0,49.0,0.0,0.39066358024691356,0.0
WT7Lsfb_KeEt4RyjfhfXuxFrMEhc2OJW7-LcS3gLdME=,OSS_DIRECTORY,oso,ecosynthesisx,EcoSynthesisX,GITHUB,21,2023-10-04 07:14:18.000000 UTC,2024-12-09 10:06:54.000000 UTC,2023-10-04 07:19:43.000000 UTC,2024-12-09 10:06:52.000000 UTC,13,4,5.0,6.0,2.0,0.0,0.0,2.0,37.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
_n9FHvFlG0nkjzzws25GuLhG6dj3bgWwiuxPwy5M4Hw=,OSS_DIRECTORY,oso,etheralpha,Ether Alpha,GITHUB,26,2021-11-10 08:50:38.000000 UTC,2024-12-19 20:36:40.000000 UTC,2021-12-13 05:47:00.000000 UTC,2024-12-19 20:48:23.000000 UTC,73,56,5.0,35.0,6.0,4.0,1.4863387978142077,2.0,9198.0,9.0,9.0,1.0,0.0,7.0,0.0,0.0,0.0
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,OSS_DIRECTORY,oso,glo-foundation,Glo Dollar,GITHUB,4,2023-05-04 08:54:14.000000 UTC,2024-12-17 16:03:46.000000 UTC,2023-05-05 11:04:46.000000 UTC,2024-12-17 16:03:45.000000 UTC,7,9,5.0,12.0,6.0,4.0,0.0,1.0,125.0,36.0,34.0,16.0,9.0,159.0,0.0,10.836276455026455,0.0
r06ZetKFJUG0eWrHEAW5wIlDXFDxyiZQdxxSqnmqs0k=,OSS_DIRECTORY,oso,web3py-ethereum,web3.py,GITHUB,1,2016-04-14 15:59:35.000000 UTC,2024-12-19 18:35:21.000000 UTC,2023-04-25 18:15:13.000000 UTC,2024-12-19 18:35:18.000000 UTC,5084,1722,5.0,981.0,49.0,35.0,0.00546448087431694,5.0,141.0,86.0,68.0,46.0,47.0,418.0,0.0,84.293330938697309,0.0
UNKoHLpnT_OziRiPCuX21uhgLNIJygsxuZz3A0TL-cg=,OSS_DIRECTORY,oso,protocol-guild,Protocol Guild,GITHUB,2,2021-11-24 16:10:20.000000 UTC,2024-12-19 16:22:41.000000 UTC,2022-01-18 21:15:07.000000 UTC,2024-12-10 10:18:59.000000 UTC,57,123,5.0,115.0,83.0,63.0,0.18032786885245902,2.0,282.0,106.0,96.0,1.0,0.0,82.0,0.0,1.2089583333333334,0.0
YVD9NruuwKCsQX_FPmSMN8A6m2F53PxYxW14W1eVFLU=,OSS_DIRECTORY,oso,growthepie,growthepie,GITHUB,7,2023-02-01 20:17:54.000000 UTC,2024-12-19 13:50:28.000000 UTC,2023-04-21 13:12:55.000000 UTC,2024-12-19 13:50:26.000000 UTC,40,16,7.0,10.0,9.0,2.0,1.0109289617486339,7.0,1019.0,69.0,65.0,0.0,0.0,13.0,0.0,14.870138888888889,0.0
qrlafNIdzAmcq2z0PxvBFisxIJ29C9Cbpdvc_DEpmcU=,OSS_DIRECTORY,oso,fundingthecommons,fundingthecommons,GITHUB,8,2022-04-07 19:57:53.000000 UTC,2024-10-21 14:09:44.000000 UTC,2022-06-21 16:13:52.000000 UTC,2024-10-19 06:35:13.000000 UTC,1,2,8.0,12.0,4.0,3.0,0.0,3.0,57.0,13.0,9.0,2.0,0.0,20.0,0.0,0.0,0.0
tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,OSS_DIRECTORY,oso,drips-network,Drips,GITHUB,17,2021-06-11 09:27:07.000000 UTC,2024-12-19 19:43:05.000000 UTC,2021-10-05 14:30:15.000000 UTC,2024-12-19 09:14:50.000000 UTC,130,71,8.0,44.0,14.0,6.0,0.44262295081967212,5.0,492.0,212.0,163.0,131.0,133.0,442.0,0.0,92.08817729766804,0.0
