project_id,bucket_month,event_type,amount
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,2024-09-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,996.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-05-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,7872.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-01-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,7446.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,2024-03-01 00:00:00.000000 UTC,FORKED,112.0
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,2024-10-01 00:00:00.000000 UTC,PULL_REQUEST_CLOSED,340.0
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,2024-01-01 00:00:00.000000 UTC,PULL_REQUEST_MERGED,268.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-09-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,13652638735501820.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-12-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,5.13847315587927e+15
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,2024-02-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_COUNT,2925.0
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-10-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,7066840551138339.0
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-04-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,12070422873970094.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-05-01 00:00:00.000000 UTC,FORKED,272.0
1mBkagpZ6JI5aGrhKsfnb7_M1rtz8N6nraFghzTJs-w=,2024-04-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,3.1454967891414938e+17
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,2024-07-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,1.4599442450109875e+17
SNdMHnnes04aSQQwpNdWT0uBt6VdKyT3Zog7miIsaK0=,2024-04-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,4695.0
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,2024-12-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_SUCCESS_DAILY_COUNT,7881.0
LYjorXBAT3ups7hO6SJ_Uy7fft9PqTeD3Nq2m2El7uM=,2024-09-01 00:00:00.000000 UTC,STARRED,214.0
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,2024-12-01 00:00:00.000000 UTC,CONTRACT_INVOCATION_DAILY_L2_GAS_USED,403224205257924.0
