project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_created_at_date,last_updated_at_date,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months,comment_count_6_months,release_count_6_months,time_to_first_response_days_average_6_months,time_to_merge_days_average_6_months,cluster
WT7Lsfb_KeEt4RyjfhfXuxFrMEhc2OJW7-LcS3gLdME=,OSS_DIRECTORY,oso,ecosynthesisx,EcoSynthesisX,GITHUB,21,2023-10-04 07:14:18.000000 UTC,2024-12-09 10:06:54.000000 UTC,738797,739229,13,4,5.0,6.0,2.0,0.0,0.0,2.0,33.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,OSS_DIRECTORY,oso,glo-foundation,Glo Dollar,GITHUB,4,2023-05-04 08:54:14.000000 UTC,2024-12-23 14:26:13.000000 UTC,738645,739243,7,9,5.0,12.0,6.0,4.0,0.0,1.0,130.0,36.0,35.0,16.0,9.0,159.0,0.0,10.836276455026454,0.0,3
_n9FHvFlG0nkjzzws25GuLhG6dj3bgWwiuxPwy5M4Hw=,OSS_DIRECTORY,oso,etheralpha,Ether Alpha,GITHUB,26,2021-11-10 08:50:38.000000 UTC,2024-12-29 04:55:54.000000 UTC,738137,739249,73,57,5.0,36.0,6.0,4.0,1.53551912568306,2.0,9086.0,9.0,10.0,1.0,0.0,10.0,0.0,0.0,0.0,0
r06ZetKFJUG0eWrHEAW5wIlDXFDxyiZQdxxSqnmqs0k=,OSS_DIRECTORY,oso,web3py-ethereum,web3.py,GITHUB,1,2016-04-14 15:59:35.000000 UTC,2024-12-28 23:21:11.000000 UTC,738635,739239,5098,1724,5.0,981.0,46.0,33.0,0.0054644808743169,5.0,132.0,82.0,64.0,44.0,44.0,405.0,0.0,88.9187242798354,0.0,3
UNKoHLpnT_OziRiPCuX21uhgLNIJygsxuZz3A0TL-cg=,OSS_DIRECTORY,oso,protocol-guild,Protocol Guild,GITHUB,2,2021-11-24 16:10:20.000000 UTC,2024-12-19 16:22:41.000000 UTC,738173,739230,57,124,5.0,116.0,70.0,51.0,0.180327868852459,2.0,242.0,89.0,82.0,1.0,0.0,74.0,0.0,0.8557291666666667,0.0,3
YVD9NruuwKCsQX_FPmSMN8A6m2F53PxYxW14W1eVFLU=,OSS_DIRECTORY,oso,growthepie,growthepie,GITHUB,7,2023-02-01 20:17:54.000000 UTC,2024-12-23 13:07:56.000000 UTC,738631,739243,41,21,7.0,10.0,8.0,1.0,1.0054644808743167,7.0,968.0,64.0,60.0,0.0,0.0,11.0,0.0,14.870138888888889,0.0,3
qrlafNIdzAmcq2z0PxvBFisxIJ29C9Cbpdvc_DEpmcU=,OSS_DIRECTORY,oso,fundingthecommons,fundingthecommons,GITHUB,8,2022-04-07 19:57:53.000000 UTC,2024-10-21 14:09:44.000000 UTC,738327,739178,1,2,8.0,12.0,4.0,3.0,0.0,3.0,57.0,13.0,9.0,2.0,0.0,20.0,0.0,0.0,0.0,3
tjebT2TQMaehU8xF6AhwFzT6DSr4wrjoxLh1pE5Q7oo=,OSS_DIRECTORY,oso,drips-network,Drips,GITHUB,17,2021-06-11 09:27:07.000000 UTC,2024-12-25 11:02:06.000000 UTC,738068,739245,131,71,8.0,44.0,14.0,6.0,0.4972677595628415,5.0,449.0,202.0,152.0,131.0,133.0,441.0,0.0,94.39301160337554,0.0,3
wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,OSS_DIRECTORY,oso,givepraise,Praise,GITHUB,14,2021-12-16 07:59:30.000000 UTC,2024-12-27 05:02:29.000000 UTC,738142,739181,48,29,9.0,30.0,2.0,1.0,0.1693989071038251,2.0,104.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3
RS5lOoCIf38rkKBpmpOurIyJA85KNvQSFbxdvzij80k=,OSS_DIRECTORY,oso,kernel-community,Kernel,GITHUB,19,2020-06-29 17:44:00.000000 UTC,2024-12-25 01:44:20.000000 UTC,737605,739235,211,118,9.0,69.0,9.0,4.0,0.1912568306010928,2.0,63.0,15.0,15.0,16.0,10.0,10.0,0.0,48.06309523809524,0.0,0
