cluster,star_count,fork_count,developer_count,contributor_count,active_developer_count_6_months,commits_per_dev,prs_per_dev,issues_per_dev,contributors_per_dev,first_commit_date
0,1.6161791814058801,1.4518243072094588,4.571428571428571,7.571428571428571,1.7142857142857142,2.8194432812675716,0.4951051289713894,0.0,1.119047619047619,2022-11-30 17:08:34.285714176
1,6.137262709059195,5.680552702514271,28.9,251.4,14.0,3.9454385023661835,2.866075522414244,1.7634270525892135,9.067520233389798,2021-04-21 21:36:00.000000000
2,4.5766978584165905,4.02172729849752,15.222222222222221,43.888888888888886,3.888888888888889,3.6091096245189913,1.053851205252312,0.14482296681268034,1.403078403078403,2021-03-15 16:00:00.000000000
3,4.266107852890414,3.145084038090352,9.125,26.0,4.75,4.377245090650769,3.2815561854422963,2.8342658110623087,2.854761904761905,2022-08-16 18:00:00.000000000
4,8.384920555947032,7.550839853669061,39.54545454545455,1093.0,11.0,4.222604085039084,3.2990961499572578,2.583986402338546,9.168322208094935,2017-12-31 21:49:05.454545408
